HUMS.Healthy',HUMS.Unhealthy',BMRQ.Social_Reward',BMRQ.Musical_Seeking',BMRQ.Mood_Regulation',BMRQ.Sensory_Motor',BMRQ.Emotional_Evocation',IRI.Perspective_Taking',IRI.Fantasy',IRI.Empathic_Concern',IRI.Personal_Distress',EC.Happiness',EC.Love',EC.Fear',EC.Anger',EC.Sadness',P.Extraversion',P.Agreeableness',P.Conscientiousness',P.Neuroticism',P.Openness'
23,24,16,14,20,16,17,21,28,31,26,9,11,9,4,12,9,39,34,33,28
19,21,13,14,16,13,13,23,22,23,25,10,9,10,9,9,19,32,25,31,30
17,11,8,11,17,12,17,26,19,28,14,11,11,8,7,9,27,41,41,15,31
20,11,17,15,17,16,17,26,31,30,13,12,11,11,11,10,29,40,37,23,47
20,16,15,14,16,14,15,23,21,25,19,11,9,10,8,7,18,33,37,31,37
17,15,14,16,17,16,16,23,22,27,29,10,9,9,8,7,18,30,36,33,47
21,24,13,18,18,18,17,22,24,27,24,11,10,11,10,11,26,38,34,30,38
21,29,13,16,20,10,19,21,14,11,7,6,12,4,6,4,25,29,40,9,40
23,31,19,19,20,14,20,26,12,29,14,10,12,10,7,7,37,34,32,23,40
16,24,10,8,17,10,17,26,14,30,24,9,9,11,10,8,9,36,29,34,41
20,16,14,15,19,13,15,27,29,29,23,8,7,8,9,8,17,31,32,35,48
21,16,14,17,17,12,15,32,23,32,14,12,9,11,10,5,25,34,34,27,29
19,19,18,16,17,20,18,31,26,27,19,10,12,10,10,8,29,38,35,26,47
17,13,14,14,14,15,8,22,26,23,16,9,8,6,5,5,27,28,26,20,36
16,12,8,11,14,8,10,25,16,21,13,8,8,5,6,6,15,31,39,24,31
20,15,14,15,15,15,14,25,20,26,15,10,9,9,5,7,19,32,33,19,32
19,15,13,16,17,11,13,22,23,22,21,7,6,9,8,6,21,33,32,26,34
21,11,13,12,18,15,17,19,27,29,16,10,9,9,9,10,16,43,35,8,32
20,10,12,16,13,15,10,21,14,25,15,9,10,5,5,7,28,30,35,16,29
25,17,19,16,18,20,16,25,21,24,22,10,6,6,8,9,20,39,24,34,25
15,17,7,12,13,12,12,17,14,13,25,4,4,7,7,5,10,26,34,31,27
18,12,14,11,16,14,14,23,24,26,19,9,8,8,8,9,21,33,29,22,38
19,12,16,14,15,19,16,20,30,23,21,11,9,8,7,10,26,40,36,27,33
23,10,15,14,19,19,17,20,22,26,19,9,9,9,9,9,28,42,35,31,40
21,14,11,11,19,16,14,19,18,15,24,8,6,7,5,7,10,25,37,37,30
18,22,12,14,18,18,17,20,24,27,27,9,6,9,8,6,14,33,23,32,34
18,21,11,10,17,14,17,21,17,21,30,11,11,10,7,8,11,32,24,40,38
23,19,16,18,20,19,19,29,20,35,31,12,12,12,10,12,31,44,42,35,31
19,19,17,17,17,19,18,27,32,33,23,11,9,10,10,10,25,36,36,31,44
16,12,12,14,16,14,11,19,27,22,21,5,7,6,5,11,20,24,27,37,24
14,8,6,12,16,10,14,20,16,8,13,8,9,5,6,3,14,19,29,20,42
18,25,13,11,14,14,20,20,21,23,26,8,9,7,8,7,20,28,41,35,43
23,23,15,19,20,15,18,26,30,32,27,12,11,10,9,11,13,40,39,33,33
21,18,13,19,20,20,19,24,31,31,22,9,10,11,11,10,24,33,29,35,37
22,22,16,17,19,16,16,26,11,32,24,10,12,10,9,11,29,42,36,28,27
24,24,13,16,16,13,15,25,24,28,23,9,9,8,7,9,26,34,34,27,38
25,19,16,16,20,13,17,24,16,32,19,9,8,6,6,5,23,37,30,23,38
19,9,14,14,13,14,14,18,22,14,15,7,6,5,6,6,24,20,31,22,36
17,23,12,12,15,18,19,27,23,31,29,10,6,10,7,10,24,33,26,37,39
18,12,14,11,16,14,14,23,24,26,19,9,8,8,8,9,21,33,29,22,38
21,8,17,14,20,20,15,18,24,24,21,12,9,9,7,10,35,27,22,24,33
21,14,16,16,19,18,17,27,26,29,18,12,11,10,8,9,24,39,35,16,41
20,18,13,10,17,16,18,22,26,27,14,9,9,8,7,11,31,33,27,22,34
22,12,16,16,16,18,16,19,28,26,17,11,8,9,7,9,26,38,35,23,34
15,9,10,11,16,18,12,23,17,26,21,9,7,5,6,7,12,44,41,16,18
20,18,16,13,16,20,19,19,19,21,17,9,9,4,5,6,17,29,28,27,36
24,18,19,17,20,20,19,32,32,32,23,12,12,11,8,11,39,41,36,26,40
20,17,17,16,15,15,19,23,28,26,19,9,10,10,10,8,19,31,27,24,40
17,12,11,14,17,15,14,19,28,25,25,12,6,11,10,8,32,37,33,31,27
15,13,12,7,14,10,10,21,21,23,20,9,9,8,8,9,18,32,35,19,21
18,28,16,14,16,17,16,28,27,26,24,11,10,9,9,10,24,39,36,29,37
20,19,11,11,16,17,17,25,20,26,20,12,10,10,9,11,20,33,30,25,33
21,23,17,17,17,16,16,28,30,31,28,12,11,9,10,11,12,40,42,34,31
21,13,17,18,19,19,20,27,32,30,17,11,12,7,10,7,26,36,38,15,47
18,19,14,18,18,10,18,26,24,32,20,11,11,11,10,12,19,38,30,26,34
19,21,13,16,18,15,15,17,26,16,19,6,7,7,10,5,20,18,26,28,34
19,23,16,15,14,12,17,22,21,23,23,9,9,9,9,9,24,29,30,23,30
19,13,13,13,19,19,18,27,31,30,18,11,9,9,6,11,26,34,20,19,37
20,16,17,11,20,20,20,19,21,23,24,7,11,6,7,7,37,30,25,24,32
17,22,12,16,15,17,18,23,30,28,19,7,11,4,7,8,15,30,30,16,47
23,14,14,16,20,15,20,23,23,22,27,6,7,4,4,7,29,21,34,27,28
20,23,19,16,20,18,17,29,30,22,16,11,9,7,5,4,30,30,28,22,39
22,12,16,16,18,19,13,27,24,27,14,10,12,8,6,9,35,40,37,14,40
21,12,15,14,19,16,14,18,24,35,27,10,6,8,8,7,25,34,26,32,44
23,13,20,17,20,15,15,29,24,28,25,11,11,7,8,7,24,41,42,16,43
24,13,20,16,20,18,17,22,28,28,26,12,5,10,10,7,14,39,30,34,42
22,13,17,17,19,16,15,23,32,29,16,11,12,7,9,7,33,42,37,12,36
21,16,18,18,19,18,19,17,25,22,18,9,9,7,8,7,25,30,30,21,35
20,14,15,16,16,12,14,22,26,18,18,8,9,6,9,6,19,25,19,14,33
20,17,16,16,15,18,10,18,21,25,20,12,11,6,8,7,29,33,35,19,40
18,21,11,15,18,15,16,28,12,22,15,9,8,9,9,7,21,34,43,21,46
19,11,8,15,15,10,12,23,19,23,12,11,6,5,7,6,14,35,35,15,45
25,15,19,18,20,14,20,18,19,28,23,12,10,5,9,11,26,38,28,34,33
21,19,20,19,18,19,16,29,26,35,20,12,12,10,9,10,36,45,28,16,47
21,13,17,16,16,17,17,23,28,23,16,11,12,7,9,10,25,35,29,13,39
22,16,17,14,18,15,18,25,24,28,24,9,11,8,9,12,28,38,34,29,37
22,15,17,19,16,16,19,28,30,28,21,9,10,8,9,9,24,32,25,23,40
20,25,19,16,14,20,19,24,26,26,26,10,12,9,8,8,27,31,27,37,37
21,13,18,12,15,20,16,28,23,29,15,10,11,8,9,8,29,31,30,23,36
20,25,17,16,18,12,20,34,34,35,33,11,12,12,10,11,18,37,28,37,45
